"job_title_short","job_location","company_name","salary_year_avg","job_posted_date","job_work_from_home"
"Data Analyst","Anywhere","Mantys","650000.0","2023-02-20 15:13:33",1
"Data Analyst","Anywhere","Meta","336500.0","2023-08-23 12:04:42",1
"Data Analyst","Anywhere","AT&T","255829.5","2023-06-18 16:03:12",1
"Data Analyst","Anywhere","Pinterest Job Advertisements","232423.0","2023-12-05 20:00:40",1
"Data Analyst","Anywhere","Uclahealthcareers","217000.0","2023-01-17 00:17:23",1
"Data Analyst","Anywhere","SmartAsset","205000.0","2023-08-09 11:00:01",1
"Data Analyst","Anywhere","Inclusively","189309.0","2023-12-07 15:00:13",1
"Data Analyst","Anywhere","Motional","189000.0","2023-01-05 00:00:25",1
"Data Analyst","Anywhere","SmartAsset","186000.0","2023-07-11 16:00:05",1
"Data Analyst","Anywhere","Get It Recruit - Information Technology","184000.0","2023-06-09 08:01:04",1
